"Client","Application","Version","Environment","DeploymentStatus","DeploymentStartDateTime","DeploymentEndDateTime","TriggeredBy","ActionRunUrl"
"MTEU","Recon","2.26.0706.614","UAT","Failed","2026-07-10 10:27:19 UTC","2026-07-10 10:35:47 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29086320604"
"MTEU","Recon","2.26.0706.614","UAT","Approved","2026-07-10 10:03:48 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29085068386"
"MTEU","Recon","2.26.0706.613","UAT","Approval Pending","2026-07-10 10:19:36 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29085961675"
"MTEU","Recon","2.26.0706.613","UAT","Approved","2026-07-10 10:20:06 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29085961675"
"MTEU","Recon","2.26.0706.614","UAT","Approval Pending","2026-07-10 10:25:32 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29086241307"
"MTEU","Recon","2.26.0706.614","UAT","Approved","2026-07-10 10:26:17 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29086241307"
"MASH","Tools","2.26.0706.614","UAT","Failed","2026-07-10 12:03:20 UTC","2026-07-10 13:07:37 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29094845380"
"MASH","Tools","2.26.0706.614","UAT","Approved","2026-07-10 12:05:00 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29091321479"
"MASH","Tools","2.26.0706.614","UAT","Approved","2026-07-10 12:09:18 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29091596386"
"MASH","Tools","2.26.0706.614","UAT","Approved","2026-07-10 13:06:27 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29094787647"
"MASH","Tools","2.26.0708.46","UAT","Succeeded","2026-07-10 14:11:37 UTC","2026-07-10 14:30:32 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29098801209"
"MASH","Tools","2.26.0708.46","UAT","Approved","2026-07-10 14:10:28 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29098683279"
"QA","Tools","2.26.0621.70","QA","Cancelled","2026-07-10 14:15:44 UTC","2026-07-11 14:16:22 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29099053322"
"QA","Tools","2.26.0621.70","QA","Approved","2026-07-10 14:14:27 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29098943977"
"MASH","Tools","2.26.0713.47","UAT","Succeeded","2026-07-13 16:44:51 UTC","2026-07-13 16:54:47 UTC","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29267585198"
"MASH","Tools","2.26.0713.47","UAT","Approved","2026-07-13 15:40:12 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29263064589"
"MASH","Tools","2.26.0713.47","UAT","Approval Pending","2026-07-13 16:42:12 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29267442585"
"MASH","Tools","2.26.0713.47","UAT","Approved","2026-07-13 16:43:47 UTC","","LDMKrishnan","https://github.com/LD-Global-Services/Deployment/actions/runs/29267442585"
